eps,index,u,v
0.5,0,5.018834114075e+00,5.018834114075e+00
0.5,1,8.793090820312e+00,6.570428848267e+00
0.5,2,7.786597251892e+00,2.886110305786e+00
0.5,3,3.899248123169e+00,8.773805618286e+00
0.5,4,6.531399726868e+00,6.645763397217e+00
0.5,5,9.716757774353e+00,3.877143859863e+00
0.5,6,7.165207862854e+00,7.456978797913e+00
0.5,7,7.401623725891e+00,5.448966979980e+00
0.5,8,3.282966613770e+00,7.160015106201e+00
0.5,9,8.179985046387e+00,3.178195953369e+00
0.5,10,5.510560035706e+00,8.026605606079e+00
0.5,11,5.087229728699e+00,4.675118446350e+00
0.5,12,7.815959930420e+00,5.150690078735e+00
0.5,13,9.790293693542e+00,4.069985866547e+00
0.5,14,4.548034667969e+00,7.191774368286e+00
0.5,15,6.772047996521e+00,1.450534343719e+00
0.5,16,8.509936332703e+00,3.384237289429e+00
0.5,17,8.829430580139e+00,8.259750366211e+00
0.5,18,9.680276870728e+00,6.589799880981e+00
0.5,19,8.789187431335e+00,1.532397747040e+00
0.5,20,8.415783882141e+00,3.908744812012e+00
0.5,21,9.526755332947e+00,6.517749786377e+00
0.5,22,4.014815330505e+00,8.246560096741e+00
0.5,23,3.264747619629e+00,9.112838745117e+00
0.5,24,7.161105155945e+00,3.555790901184e+00
0.5,25,7.761631011963e+00,3.183038711548e+00
0.5,26,8.942968368530e+00,2.611537933350e+00
0.5,27,8.727158546448e+00,3.883238792419e+00
0.5,28,7.977240562439e+00,3.060148239136e+00
0.5,29,8.412551879883e-01,5.904779434204e+00
0.5,30,3.911191940308e+00,6.073919296265e+00
0.5,31,5.118864059448e+00,1.414169311523e+00
0.5,32,7.276808738708e+00,4.641166687012e+00
0.5,33,5.834092140198e+00,7.341460227966e+00
0.5,34,1.551165580750e+00,6.547746658325e+00
0.5,35,8.779766082764e+00,5.754798412323e+00
0.5,36,4.914001464844e+00,4.749834060669e+00
0.5,37,8.108685493469e+00,3.433061122894e+00
0.5,38,5.687791824341e+00,2.634494781494e+00
0.5,39,8.332917213440e+00,7.088705062866e+00
0.5,40,8.736649513245e+00,8.603058815002e+00
0.5,41,7.765129089355e+00,5.706077575684e+00
0.5,42,7.967967987061e+00,2.920461654663e+00
0.5,43,7.739138603210e+00,4.197839260101e+00
0.5,44,3.832239151001e+00,7.001250267029e+00
0.5,45,4.350635528564e+00,6.798585891724e+00
0.5,46,5.661980628967e+00,4.601878166199e+00
0.5,47,8.779701232910e+00,3.725896358490e+00
0.5,48,4.071325302124e+00,3.201017379761e+00
0.5,49,9.248811721802e+00,3.943057537079e+00
0.5,50,7.474951744080e-01,7.244491577148e+00
0.5,51,9.517361640930e+00,6.534988403320e+00
0.5,52,1.015026092529e+01,6.276291847229e+00
0.5,53,9.423805236816e+00,6.962266921997e+00
0.5,54,7.638535499573e+00,1.550397872925e+00
0.5,55,6.932763099670e+00,7.151519775391e+00
0.5,56,2.981766700745e+00,4.143260955811e+00
0.5,57,1.002667522430e+01,8.578555107117e+00
0.5,58,7.977454185486e+00,4.089687347412e+00
0.5,59,7.467082023621e+00,5.312407970428e+00
0.5,60,7.824521064758e+00,6.137348175049e+00
0.5,61,4.940059661865e+00,2.478356361389e+00
0.5,62,7.394410133362e+00,3.645311832428e+00
0.5,63,6.024661064148e+00,6.636335849762e+00
0.5,64,7.197505950928e+00,3.380709648132e+00
0.5,65,7.497714042664e+00,6.428078651428e+00
0.5,66,8.823206901550e+00,3.835284233093e+00
0.5,67,4.025632858276e+00,2.566396713257e+00
0.5,68,1.006860923767e+01,6.326763629913e+00
0.5,69,5.991311073303e+00,7.296881675720e+00
0.5,70,7.236766815186e+00,7.375736236572e+00
0.5,71,9.349082946777e+00,5.464525222778e+00
0.5,72,9.608030319214e+00,5.192853927612e+00
0.5,73,7.401946067810e+00,7.735787391663e+00
0.5,74,9.657422065735e+00,6.006164550781e+00
0.5,75,9.612484931946e+00,5.925046920776e+00
0.5,76,8.127866744995e+00,4.006218910217e+00
0.5,77,4.322271347046e+00,9.577846527100e-01
0.5,78,8.129884719849e+00,4.041862487793e+00
0.5,79,9.767506599426e+00,4.747224807739e+00
0.5,80,6.384560585022e+00,3.019283294678e+00
0.5,81,9.859510421753e+00,6.148755550385e+00
0.5,82,7.377408981323e+00,6.035821914673e+00
0.5,83,8.154521942139e+00,3.160202026367e+00
0.5,84,9.933089256287e+00,3.630287170410e+00
0.5,85,9.586257934570e+00,2.726299285889e+00
0.5,86,6.898241043091e+00,2.457302570343e+00
0.5,87,6.131428718567e+00,4.341186523438e+00
0.5,88,9.311850547791e+00,5.299563407898e+00
0.5,89,5.262866020203e+00,5.909898757935e+00
0.5,90,7.682887077332e+00,2.493817329407e+00
0.5,91,5.784505844116e+00,5.064155578613e+00
0.5,92,6.104085922241e+00,5.205938339233e+00
0.5,93,6.450110435486e+00,4.333234786987e+00
0.5,94,6.975895881653e+00,7.429410934448e+00
0.5,95,4.771460533142e+00,5.048058509827e+00
0.5,96,8.197491645813e+00,5.510316848755e+00
0.5,97,9.435727119446e+00,9.084204673767e+00
0.5,98,8.303417205811e+00,1.332840919495e+00
0.5,99,7.521719932556e+00,3.605886459351e+00
0.5,100,7.069065093994e+00,5.696321487427e+00
0.5,101,8.986003875732e+00,4.781509399414e+00
0.5,102,6.420061111450e+00,3.937361717224e+00
0.5,103,8.228539466858e+00,4.181142807007e+00
0.5,104,7.395236015320e+00,7.120256423950e+00
0.5,105,7.190882682800e+00,5.864304542542e+00
0.5,106,5.540466308594e+00,6.486387252808e+00
0.5,107,6.070111274719e+00,8.278210639954e+00
0.5,108,6.197448730469e+00,5.068147659302e+00
0.5,109,7.862638473511e+00,8.432033538818e+00
0.5,110,9.996695518494e+00,4.130008697510e+00
0.5,111,6.978680133820e+00,8.237863540649e+00
0.5,112,5.894877433777e+00,4.456502914429e+00
0.5,113,9.767775535583e+00,9.123748779297e+00
0.5,114,8.811864852905e+00,5.291831970215e+00
0.5,115,6.209139823914e+00,6.690131187439e+00
0.5,116,8.705910682678e+00,5.851022720337e+00
0.5,117,7.519998550415e+00,9.014731407166e+00
0.5,118,6.736679553986e+00,3.095322608948e+00
0.5,119,4.254791259766e+00,3.560913085938e+00
0.5,120,2.879238128662e+00,7.288273334503e+00
0.5,121,7.154911994934e+00,2.053455352783e+00
0.5,122,6.499308586121e+00,4.959177017212e+00
0.5,123,9.069347381592e+00,3.183075904846e+00
0.5,124,7.706534385681e+00,8.075061798096e+00
0.5,125,7.658545494080e+00,6.660179138184e+00
0.5,126,7.680477142334e+00,1.083950042725e+00
0.5,127,5.141313552856e+00,3.221057891846e+00
0.5,128,7.999103546143e+00,4.932310104370e+00
0.5,129,8.374289512634e+00,5.855755805969e+00
0.5,130,6.657814979553e+00,2.568520069122e+00
0.5,131,9.597796440125e+00,3.458175659180e+00
0.5,132,6.601546287537e+00,5.712615966797e+00
0.5,133,8.404371261597e+00,6.262858390808e+00
0.5,134,6.131696701050e+00,5.845093250275e+00
0.5,135,2.883871078491e+00,3.564128875732e+00
0.5,136,8.479265213013e+00,4.366005420685e+00
0.5,137,9.185500144958e+00,3.917823791504e+00
0.5,138,3.882694244385e+00,5.184112548828e+00
0.5,139,7.078429222107e+00,2.142896652222e+00
0.5,140,7.320424079895e+00,7.302291870117e+00
0.5,141,9.478215217590e+00,3.411396503448e+00
0.5,142,6.531667709351e+00,6.940734863281e+00
0.5,143,6.076872825623e+00,5.539625167847e+00
0.5,144,8.198665618896e+00,6.229184150696e+00
0.5,145,8.071786880493e+00,3.662460327148e+00
0.5,146,7.416127204895e+00,9.213623046875e+00
0.5,147,9.023611068726e+00,4.078667640686e+00
0.5,148,6.954156875610e+00,2.936032295227e+00
0.5,149,6.211083412170e+00,5.836181640625e+00
0.5,150,5.968548774719e+00,3.389245033264e+00
0.5,151,7.521055221558e+00,6.110875606537e+00
0.5,152,8.264093399048e+00,7.092053413391e+00
0.5,153,7.779663085938e+00,1.069944572449e+01
0.5,154,7.179768562317e+00,5.105023384094e+00
0.5,155,7.278558731079e+00,1.468272209167e+00
0.5,156,6.500467300415e+00,1.106913185120e+01
0.5,157,4.282258033752e+00,8.214590072632e+00
0.5,158,6.201024055481e+00,7.182887077332e+00
0.5,159,8.789794921875e+00,4.732570648193e+00
0.5,160,9.880062103271e+00,3.026685714722e-01
0.5,161,7.458086967468e+00,5.012360572815e+00
0.5,162,4.544584274292e+00,4.446289062500e+00
0.5,163,7.475214958191e+00,5.622159957886e+00
0.5,164,4.898189544678e+00,5.382920265198e+00
0.5,165,9.324864387512e+00,4.743181228638e+00
0.5,166,3.553401947021e+00,5.442195892334e+00
0.5,167,4.764181137085e+00,4.338814735413e+00
0.5,168,-1.875076293945e-01,6.831166744232e+00
0.5,169,9.721134185791e+00,4.079427719116e+00
0.5,170,8.637469291687e+00,8.552629470825e+00
0.5,171,5.318379402161e+00,5.525868892670e+00
0.5,172,3.579986572266e+00,3.559989929199e+00
0.5,173,4.630498886108e-01,2.139575004578e+00
0.5,174,7.195462226868e+00,6.374497890472e+00
0.5,175,3.927206039429e+00,2.396524429321e+00
0.5,176,6.182977676392e+00,3.522147178650e+00
0.5,177,5.988858222961e+00,3.375858306885e+00
0.5,178,5.977132797241e+00,2.404191970825e+00
0.5,179,6.913084983826e+00,4.278218269348e+00
0.5,180,8.339529037476e+00,4.722919940948e+00
0.5,181,6.841839790344e+00,2.826098442078e+00
0.5,182,7.336212158203e+00,5.166806221008e+00
0.5,183,8.916942596436e+00,3.941251754761e+00
0.5,184,8.067742347717e+00,2.554395675659e+00
0.5,185,6.468905448914e+00,5.986874580383e+00
0.5,186,8.521367073059e+00,2.578217506409e+00
0.5,187,8.886841773987e+00,4.441957950592e+00
0.5,188,8.333998680115e+00,6.051054954529e+00
0.5,189,6.117271423340e+00,1.556251525879e+00
0.5,190,8.996781349182e+00,6.855658054352e+00
0.5,191,9.428066253662e+00,5.060722351074e+00
0.5,192,8.509319305420e+00,5.603522300720e+00
0.5,193,6.258002281189e+00,2.741228103638e+00
0.5,194,5.595499992371e+00,7.728429317474e+00
0.5,195,8.666462898254e+00,9.627483367920e+00
0.5,196,-3.242702484131e-01,4.746999740601e+00
0.5,197,4.752688407898e+00,5.401475906372e+00
0.5,198,7.759122848511e+00,1.760568618774e-01
0.5,199,6.502446174622e+00,3.794492244720e+00
0.5,200,7.997151374817e+00,5.880690574646e+00
0.5,201,3.558754920959e+00,3.209362030029e+00
0.5,202,6.336024284363e+00,4.822156906128e+00
0.5,203,4.701450347900e+00,6.292110443115e+00
0.5,204,4.284955978394e+00,5.437232971191e+00
0.5,205,6.794530868530e+00,7.561079502106e+00
0.5,206,8.139497756958e+00,3.982673645020e+00
0.5,207,2.383466720581e+00,7.710512161255e+00
0.5,208,7.921511650085e+00,7.770519256592e-01
0.5,209,4.178544998169e+00,8.372035980225e+00
0.5,210,9.108527183533e+00,4.038372993469e+00
0.5,211,7.685449600220e+00,9.714790344238e+00
0.5,212,7.387334823608e+00,1.600811004639e+00
0.5,213,5.242402076721e+00,4.116047859192e+00
0.5,214,6.715043067932e+00,5.212216854095e+00
0.5,215,5.173712730408e+00,4.891311645508e+00
0.5,216,3.435682296753e+00,4.468231201172e+00
0.5,217,8.545319557190e+00,4.288819313049e+00
0.5,218,6.758851051331e+00,6.241424560547e+00
0.5,219,8.634020805359e+00,7.444639682770e+00
0.5,220,1.009154415131e+01,4.086254119873e+00
0.5,221,8.074664115906e+00,4.202626228333e+00
0.5,222,9.650133132935e+00,4.789844512939e+00
0.5,223,6.018392562866e+00,3.128357887268e+00
0.5,224,6.565862655640e+00,3.776026725769e+00
0.5,225,4.357118606567e+00,6.088891029358e-01
0.5,226,9.023361206055e-01,7.172449111938e+00
0.5,227,5.281374931335e+00,3.606834411621e+00
0.5,228,9.185853958130e+00,2.516130447388e+00
0.5,229,5.290405273438e+00,3.839510917664e+00
0.5,230,6.138881683350e+00,6.629455566406e+00
0.5,231,6.350311279297e+00,4.113454818726e+00
0.5,232,5.461859703064e+00,5.257863044739e+00
0.5,233,7.988286018372e+00,4.523091316223e+00
0.5,234,9.551556587219e+00,5.184941291809e+00
0.5,235,9.647916793823e+00,4.215204238892e+00
0.5,236,5.735924243927e+00,6.545875549316e+00
0.5,237,6.717454910278e+00,2.634887695312e+00
0.5,238,7.663953781128e+00,8.580081939697e+00
0.5,239,7.554931640625e-01,6.253567695618e+00
0.5,240,8.057316780090e+00,7.820135593414e+00
0.5,241,5.538512229919e+00,5.295660972595e+00
0.5,242,7.159023284912e+00,8.744470596313e+00
0.5,243,3.617500305176e+00,5.019577503204e+00
0.5,244,8.946072578430e+00,9.640505790710e+00
0.5,245,8.356593132019e+00,2.278804779053e+00
0.5,246,4.332775115967e+00,6.230059623718e+00
0.5,247,7.270089149475e+00,5.688257217407e+00
0.5,248,9.887002944946e+00,3.303056716919e+00
0.5,249,5.555172920227e+00,3.581157684326e+00
0.5,250,7.379782676697e+00,5.199485778809e+00
0.5,251,6.757824420929e+00,1.159025955200e+01
0.5,252,8.521584510803e+00,7.279617309570e+00
0.5,253,4.674720764160e-01,5.601094722748e+00
0.5,254,5.181758880615e+00,5.814435958862e+00
0.5,255,4.157999038696e+00,8.052953720093e+00
0.1,0,8.594621658325e+00,8.594621658325e+00
0.1,1,1.257364654541e+01,1.024267673492e+01
0.1,2,1.148390102386e+01,6.390181064606e+00
0.1,3,7.427569866180e+00,1.203521442413e+01
0.1,4,1.019467067719e+01,1.017884922028e+01
0.1,5,1.365828990936e+01,7.404333591461e+00
0.1,6,1.089012336731e+01,1.108864498138e+01
0.1,7,1.121080970764e+01,8.953497886658e+00
0.1,8,6.779300212860e+00,1.062054157257e+01
0.1,9,1.194391155243e+01,6.711991786957e+00
0.1,10,9.200680732727e+00,1.149920368195e+01
0.1,11,8.746874809265e+00,8.270441055298e+00
0.1,12,1.164974117279e+01,8.646380424500e+00
0.1,13,1.372661018372e+01,7.615827083588e+00
0.1,14,8.075720787048e+00,1.074379444122e+01
0.1,15,1.057653522491e+01,4.990602016449e+00
0.1,16,1.223810577393e+01,6.908625125885e+00
0.1,17,1.267661476135e+01,1.188535022736e+01
0.1,18,1.355920314789e+01,1.006718063354e+01
0.1,19,1.261068630219e+01,5.074971675873e+00
0.1,20,1.229750251770e+01,7.512127876282e+00
0.1,21,1.338983154297e+01,1.012077045441e+01
0.1,22,7.558935642242e+00,1.176217842102e+01
0.1,23,6.763726711273e+00,1.258055877686e+01
0.1,24,1.085523986816e+01,7.081626415253e+00
0.1,25,1.144656276703e+01,6.701981544495e+00
0.1,26,1.273411846161e+01,6.054955959320e+00
0.1,27,1.260198974609e+01,7.482440471649e+00
0.1,28,1.172020721436e+01,6.574627876282e+00
0.1,29,4.063420295715e+00,9.464876174927e+00
0.1,30,7.440688610077e+00,9.598663330078e+00
0.1,31,8.858542442322e+00,4.928347110748e+00
0.1,32,1.099446773529e+01,8.197497367859e+00
0.1,33,9.430482864380e+00,1.089343738556e+01
0.1,34,4.697741985321e+00,1.016277599335e+01
0.1,35,1.262687587738e+01,9.402712821960e+00
0.1,36,8.586593627930e+00,8.306732177734e+00
0.1,37,1.182217693329e+01,7.017906188965e+00
0.1,38,9.308430671692e+00,6.206578731537e+00
0.1,39,1.222225952148e+01,1.057293891907e+01
0.1,40,1.263042354584e+01,1.220086860657e+01
0.1,41,1.143478298187e+01,9.202635765076e+00
0.1,42,1.186089515686e+01,6.374634742737e+00
0.1,43,1.151230144501e+01,7.747136116028e+00
0.1,44,7.337011814117e+00,1.051815986633e+01
0.1,45,7.785951137543e+00,1.028756999969e+01
0.1,46,9.264761924744e+00,8.209167480469e+00
0.1,47,1.261976528168e+01,7.310466766357e+00
0.1,48,7.747851848602e+00,6.656559944153e+00
0.1,49,1.313733100891e+01,7.510388374329e+00
0.1,50,4.080808162689e+00,1.080040454865e+01
0.1,51,1.338610267639e+01,1.014576721191e+01
0.1,52,1.422310829163e+01,9.855257034302e+00
0.1,53,1.332329463959e+01,1.048141479492e+01
0.1,54,1.151305294037e+01,5.059248447418e+00
0.1,55,1.076433753967e+01,1.071038246155e+01
0.1,56,6.394979953766e+00,7.644046306610e+00
0.1,57,1.401750850677e+01,1.216488647461e+01
0.1,58,1.176806545258e+01,7.601384639740e+00
0.1,59,1.113019847870e+01,8.876497268677e+00
0.1,60,1.154322242737e+01,9.663676261902e+00
0.1,61,8.541627883911e+00,5.935745239258e+00
0.1,62,1.112982177734e+01,7.237271785736e+00
0.1,63,9.671687126160e+00,1.019309616089e+01
0.1,64,1.096349334717e+01,6.969748020172e+00
0.1,65,1.126798248291e+01,9.985063552856e+00
0.1,66,1.262813091278e+01,7.378107547760e+00
0.1,67,7.706761360168e+00,6.137901306152e+00
0.1,68,1.409464168549e+01,9.988754272461e+00
0.1,69,9.650921821594e+00,1.072829532623e+01
0.1,70,1.097521877289e+01,1.104000091553e+01
0.1,71,1.323237514496e+01,9.027445793152e+00
0.1,72,1.350407695770e+01,8.757959365845e+00
0.1,73,1.115215587616e+01,1.119868946075e+01
0.1,74,1.359965705872e+01,9.494879722595e+00
0.1,75,1.349361610413e+01,9.466002464294e+00
0.1,76,1.186769390106e+01,7.565951824188e+00
0.1,77,7.755682468414e+00,4.304145812988e+00
0.1,78,1.193895149231e+01,7.636251926422e+00
0.1,79,1.371615600586e+01,8.298491477966e+00
0.1,80,1.018319702148e+01,6.525550842285e+00
0.1,81,1.387920284271e+01,9.746262550354e+00
0.1,82,1.125059795380e+01,9.606912612915e+00
0.1,83,1.188174438477e+01,6.659727573395e+00
0.1,84,1.392691802979e+01,7.152864933014e+00
0.1,85,1.345681762695e+01,6.278732299805e+00
0.1,86,1.070664501190e+01,5.951720714569e+00
0.1,87,9.754739761353e+00,7.948150157928e+00
0.1,88,1.317428112030e+01,8.888960838318e+00
0.1,89,8.843618392944e+00,9.447257041931e+00
0.1,90,1.135591030121e+01,5.970878124237e+00
0.1,91,9.491319656372e+00,8.661856651306e+00
0.1,92,9.753417015076e+00,8.751473426819e+00
0.1,93,1.007262706757e+01,7.894224643707e+00
0.1,94,1.084872722626e+01,1.109290599823e+01
0.1,95,8.337794303894e+00,8.595713615417e+00
0.1,96,1.195127296448e+01,9.127199172974e+00
0.1,97,1.331407928467e+01,1.264461994171e+01
0.1,98,1.208956050873e+01,4.845433712006e+00
0.1,99,1.139211273193e+01,7.124597072601e+00
0.1,100,1.078042507172e+01,9.197186470032e+00
0.1,101,1.284588527679e+01,8.318753242493e+00
0.1,102,1.028610134125e+01,7.542150974274e+00
0.1,103,1.208036708832e+01,7.792326450348e+00
0.1,104,1.104876613617e+01,1.059012126923e+01
0.1,105,1.084296417236e+01,9.426703453064e+00
0.1,106,9.140065193176e+00,1.002592658997e+01
0.1,107,9.789939880371e+00,1.177153015137e+01
0.1,108,9.830595970154e+00,8.632952690125e+00
0.1,109,1.161272621155e+01,1.195364093781e+01
0.1,110,1.403798675537e+01,7.681248664856e+00
0.1,111,1.062341976166e+01,1.175810718536e+01
0.1,112,9.663203239441e+00,8.009770393372e+00
0.1,113,1.372550964355e+01,1.251368141174e+01
0.1,114,1.269296455383e+01,8.795725822449e+00
0.1,115,9.975273132324e+00,1.021443462372e+01
0.1,116,1.254181861877e+01,9.427210807800e+00
0.1,117,1.124724006653e+01,1.254459667206e+01
0.1,118,1.041395282745e+01,6.677067756653e+00
0.1,119,7.984147548676e+00,7.078034877777e+00
0.1,120,6.356672286987e+00,1.092027187347e+01
0.1,121,1.082746887207e+01,5.548405647278e+00
0.1,122,1.013046264648e+01,8.565434455872e+00
0.1,123,1.300356292725e+01,6.738515377045e+00
0.1,124,1.150857448578e+01,1.153688526154e+01
0.1,125,1.152912139893e+01,1.022303009033e+01
