x,y
-5.6291991472e-01,-5.7618010044e-01
-1.2528929114e-01,-2.1693941951e-01
4.2435517907e-01,3.4600460529e-01
-1.5800638497e-01,-1.0576097965e+00
1.6113746166e-01,-6.3166737556e-01
1.7499159276e-01,1.5406695008e-01
5.9920754284e-02,6.1882895231e-01
5.5838859081e-01,-1.2363882363e-01
-6.7632687092e-01,-8.4796565771e-01
2.8332525492e-01,3.9675420523e-01
2.9941973090e-01,-7.7754753828e-01
-1.7068015039e-01,9.2650306225e-01
3.7509471178e-01,-2.9274857044e-01
-8.6698509753e-02,9.1738961637e-02
6.9468307495e-01,7.9316717386e-01
4.7314918041e-01,-4.2183840275e-01
-3.0679154396e-01,1.5796370804e-02
-2.4633851647e-01,1.2420737743e-01
2.1984793246e-01,5.6205593050e-02
3.2039618492e-01,2.2057813406e-01
-5.1154825836e-02,3.9622199535e-01
-1.4483378828e-01,2.6253743097e-02
2.6143020391e-01,1.1511026621e+00
-7.3444694281e-01,-7.9334437847e-01
-3.3654496074e-01,4.3641561270e-01
5.2767878771e-01,8.8922061026e-02
-1.1516773701e-01,-1.9587719440e-01
2.7164733410e-01,-1.9757875800e-01
-2.2310860455e-01,3.7201035023e-01
7.6048976183e-01,1.7052513361e+00
-7.6559215784e-01,-6.1706751585e-01
9.0986263752e-01,-2.7576434612e-01
-2.8462401032e-01,4.5998564363e-01
5.5540806055e-01,6.4493691921e-01
-7.3908716440e-01,1.2836164236e+00
-2.3655989766e-01,1.6777536273e-01
-8.1466299295e-01,-2.7487182617e-01
-2.3991712928e-01,-2.4984107912e-01
-5.3349000216e-01,5.5746978521e-01
-7.0335716009e-02,4.0287682414e-01
-4.6674113721e-02,3.4352511168e-01
-4.1915768385e-01,4.4591087499e-04
4.2094704509e-01,-2.0001727343e-01
5.1973098516e-01,1.7907655239e-01
-1.2300047278e-01,1.1512582302e+00
-9.4084459543e-01,-2.4863511324e-02
-5.2248930931e-01,-4.7825026512e-01
1.6765929759e-02,3.5504329205e-01
8.2293349504e-01,-6.8008446693e-01
1.7228271067e-01,2.5993385911e-01
-1.3066612482e+00,-8.4823733568e-01
-1.1412084103e-01,1.3997749984e-01
1.2346319854e-01,3.8443502039e-02
1.6900290549e-01,2.2720088065e-01
2.2847038507e-01,-4.3268549442e-01
3.9065396786e-01,-4.6339470148e-01
-1.0941684246e-01,-1.2175326347e+00
-3.6457262933e-02,-1.6993300989e-02
4.8125913739e-01,1.7458412051e-01
-4.6073099971e-01,-2.8097391129e-02
-3.1134924293e-01,-2.3186108470e-01
9.6089118719e-01,-2.0127275586e-01
6.1951238662e-02,5.8239173889e-01
4.6168676019e-01,6.9364762306e-01
-4.4168788195e-01,-2.0945672691e-01
-4.0241333842e-01,2.8280454874e-01
3.0518230796e-01,2.3344177008e-01
9.7532856464e-01,-5.3154927492e-01
-3.8662876934e-02,5.8199327439e-02
-2.9699531198e-01,-6.2196427584e-01
-5.1046315581e-02,-5.1677417755e-01
-1.5631942451e-01,1.2289274484e-01
-1.2982074916e-01,5.9168525040e-02
1.2197916210e-01,5.8230030537e-01
1.4428792894e-01,1.9329887629e-01
-1.0053195804e-01,-5.8963492513e-02
9.6099548042e-02,-3.8607844710e-01
-9.5017278194e-01,6.5338715911e-02
-3.5214707255e-01,1.5736047924e-01
7.8696444631e-02,1.9268135726e-01
4.8357284069e-01,-4.9554142356e-01
1.5080273151e-01,-5.3658440709e-02
4.9922817945e-01,-2.4935738742e-01
3.8055545092e-01,3.0915042758e-01
1.5702427924e-01,1.0666650534e-01
-6.0025416315e-02,1.8022987247e-01
-1.5701775253e-01,-5.3935402632e-01
1.2040525675e-01,-6.9811367989e-01
-3.3072281629e-02,-1.7917753756e-01
-7.8078085184e-01,-1.7732164264e-01
5.4053628445e-01,6.5739028156e-02
7.8676879406e-01,3.9071467519e-01
-5.3932899237e-01,-3.6045491695e-01
7.3539626598e-01,1.3781750202e-01
3.3339053392e-01,-4.9719482660e-01
-5.9468233585e-01,-5.9797489643e-01
-2.7981504798e-01,2.6673591137e-01
2.0344331861e-01,1.9729326665e-01
8.5755482316e-02,4.3802237511e-01
-1.4354370534e-01,5.1082003117e-01
-3.7197455764e-02,-5.4611182213e-01
1.9601319730e-01,2.9726305604e-01
3.3113703132e-01,-6.0315120220e-01
3.0371984839e-01,-2.7357840538e-01
5.8554458618e-01,4.8748143017e-02
4.8168712854e-01,4.2016160488e-01
-6.2682735920e-01,4.9341806769e-01
-2.4732752144e-01,-6.4152151346e-01
4.7761091590e-01,6.4178884029e-01
-3.3293080330e-01,2.8256684542e-01
1.4385186136e-01,-1.6687627882e-02
-5.3094422817e-01,-5.7213086635e-02
-1.7166791856e-01,7.8563243151e-01
9.5807440579e-02,1.8997097015e-01
-7.2378732264e-02,3.1880894303e-01
-1.4064504206e-01,-6.6493797302e-01
-7.1005351841e-02,-2.6707288623e-01
-2.6168951392e-01,4.3075212836e-01
-4.4348156452e-01,4.1938734055e-01
5.7644760609e-01,-8.8054877520e-01
-7.3887139559e-01,-8.7783557177e-01
3.8083098829e-02,-5.3930175304e-01
7.2017085552e-01,-5.5297095329e-02
2.8843012452e-01,-8.4587052464e-02
-3.2012436539e-02,5.1921278238e-01
4.5341175795e-01,-2.3775677383e-01
-4.3537208438e-01,7.2371453047e-02
9.5142823458e-01,1.9519789517e-01
-1.9686290994e-02,-4.0073591471e-01
-2.4777215719e-01,-1.8075703084e-01
2.9255661368e-01,-5.7800340652e-01
-7.1682438254e-02,-9.7370289266e-02
-4.2781695724e-02,6.9726014137e-01
2.9845005274e-01,-2.4142417312e-01
-1.8304930627e-01,-6.6352611780e-01
8.4763979912e-01,1.0327497721e+00
-1.1697883904e-01,3.5365915298e-01
2.9002404213e-01,1.3415104151e-01
-1.0294693708e+00,2.6701024175e-01
-2.6769745350e-01,-4.3183279037e-01
-1.1747174896e-02,5.8583492041e-01
1.9934360683e-01,-9.9357761443e-02
-5.7797044516e-01,-1.5833488107e-01
4.7014904022e-01,-5.7347708941e-01
2.7940165997e-01,3.9587926865e-01
-9.2337884009e-02,-3.6588624120e-01
-4.0325954556e-02,-4.9003037810e-01
3.0245792121e-02,-2.4447734654e-01
-4.0686562657e-01,4.0999740362e-01
-3.1658670306e-01,6.4737737179e-01
7.3141461611e-01,-3.1021684408e-01
4.9419459701e-01,-2.1608901024e-01
-3.1160971522e-01,-1.0812266916e-01
-2.4433802068e-01,3.9347764850e-01
5.3795363754e-02,-5.3573882580e-01
-5.8323882520e-02,-5.0848537683e-01
-5.9898906946e-01,2.3921887577e-01
-6.1476206779e-01,-6.8501836061e-01
7.7177089453e-01,-1.6603499651e-02
-2.0931318402e-01,-1.2779824436e-01
-6.4615510404e-02,-2.7297377586e-02
2.0417337120e-01,5.6318295002e-01
9.6752870083e-01,5.0384253263e-01
5.0232082605e-01,-2.1675986052e-01
-6.2129884958e-01,6.4227503538e-01
1.2188614160e-01,2.6518428326e-01
-7.2653647512e-03,-1.1178590059e+00
7.3301506042e-01,-6.0952907801e-01
3.2211500406e-01,1.9650019407e+00
-6.2212139368e-02,1.4767083526e-01
1.9132709503e-01,-2.7486068010e-01
-4.9701789021e-01,6.7296844721e-01
9.7283411026e-01,-6.4518195391e-01
-1.1747380495e+00,-1.0344309807e+00
4.5471054316e-01,-3.4731003642e-01
9.7972857952e-01,-5.5191391706e-01
2.7057090402e-01,7.6947915554e-01
5.4302448034e-01,6.2320250273e-01
5.7537529618e-02,8.0965363979e-01
2.3184670508e-01,6.5036773682e-01
4.3661525846e-01,3.2563351095e-02
3.8662052155e-01,-4.8506921530e-01
-4.4383844733e-01,-1.5915852785e-01
-1.6720193624e-01,2.2714182734e-01
2.4947652221e-01,4.3899872899e-01
1.9472217560e-01,7.3125874996e-01
2.3975300789e-01,-2.6669993997e-01
-1.7325673252e-02,3.2864847779e-01
-1.5561215580e-01,-2.8100177646e-01
-2.4174630642e-01,-6.3605630398e-01
-8.7009221315e-02,2.7705842257e-01
-9.0827621520e-02,-1.1723669618e-01
1.4710074663e-01,3.9866143465e-01
6.3210773468e-01,4.6774584055e-01
2.7273160219e-01,-7.6869434118e-01
1.5621931851e-01,3.7002983689e-01
7.2511041164e-01,2.0507466793e+00
5.5911284685e-01,-7.8342390060e-01
-3.4948772192e-01,2.8719335794e-01
6.1903160810e-01,-3.2027006149e-01
-3.8223642111e-01,1.2042029202e-01
8.3212867379e-02,-1.1159070730e+00
6.9460546970e-01,-2.5116628408e-01
8.3984649181e-01,-5.1197648048e-01
8.4296214581e-01,-6.0884600878e-01
3.8248166442e-01,5.9855931997e-01
-3.5639342666e-01,-3.2787706703e-02
1.1024851799e+00,8.9258551598e-01
-5.9203403071e-03,4.8983356357e-01
-5.3302574158e-01,8.8598179817e-01
-1.3963009417e-01,-1.3845084608e-01
3.7446272373e-01,-3.2172757387e-01
-4.7587966919e-01,1.3576062024e-01
3.3578944206e-01,9.2499101162e-01
5.9547501802e-01,-2.9492819309e-01
4.8234689236e-01,-7.5467562675e-01
1.1278653145e+00,6.1439782381e-01
-2.4273040891e-01,2.2678548098e-01
6.7572236061e-01,2.1696341038e-01
-2.5662600994e-01,-9.3013420701e-02
1.3782908022e-01,5.4845321923e-02
1.7971204221e-01,-3.7686935067e-01
1.1469978839e-01,-1.2722209096e-01
7.9000675678e-01,-1.2218218297e-01
-5.9955459833e-01,-1.2843085453e-02
9.0118753910e-01,-5.2982640266e-01
1.7014131546e+00,-2.8433498740e-01
-2.3774452507e-01,8.7158155441e-01
-1.0220372677e-01,-1.5820719302e-01
6.4687186480e-01,6.7263132334e-01
9.6971876919e-02,7.8583741188e-01
-1.9136758149e-01,6.9754171371e-01
1.7137275636e-01,-8.0224621296e-01
-2.9365265369e-01,3.0019423366e-01
2.1890175343e-01,-4.8227343708e-02
1.6513441503e-01,-9.3759447336e-02
-7.1353232861e-01,2.9627725482e-01
-5.7909566164e-01,1.7880462110e-02
1.0800629109e-01,-4.5803999901e-01
7.7992564440e-01,-1.5768622160e+00
-2.8055125475e-01,-2.1514855325e-01
-1.6661258042e-01,-7.7319866419e-01
-7.3584532365e-03,6.1255592108e-01
7.9681921005e-01,-8.1574863195e-01
-2.8438480571e-02,3.1482949853e-01
1.3558451831e-01,-3.4299135208e-01
-5.4589712620e-01,8.3983349800e-01
-4.4041225314e-01,2.9001641273e-01
1.8211494386e-01,4.4067028910e-02
-6.5345603228e-01,-3.5318487883e-01
-8.2108072937e-02,-4.8573407531e-01
-5.1542198658e-01,3.2363963127e-01
-9.5307558775e-02,3.5832548141e-01
-1.0000942945e+00,-1.2048288584e+00
1.0971144587e-01,-8.4943026304e-01
6.5471208096e-01,-8.3064740896e-01
