x,y
-3.9218914509e+00,2.3446159437e-02
-2.8881523609e+00,-2.9581897259e+00
2.7116806507e+00,-2.4950046539e+00
4.5337624550e+00,-4.3376249075e-01
3.0514221191e+00,-2.9565942287e+00
4.0785086155e-01,3.8572003841e+00
-2.6773874760e+00,-3.3145251274e+00
4.0813269615e+00,-7.4149757624e-02
3.4167497158e+00,2.7031762600e+00
-1.9766634703e+00,-3.0620162487e+00
3.3536143303e+00,2.9707911015e+00
3.3851149678e-01,-3.8980276585e+00
4.0383625031e+00,7.7561482787e-02
-3.1047143936e+00,-2.1362931728e+00
-8.7717220187e-02,-4.2682170868e+00
-1.2436713278e-01,-3.3970246315e+00
2.7794764042e+00,-2.5374748707e+00
-3.0279388428e+00,-3.1526567936e+00
-6.7699277401e-01,4.1953191757e+00
-8.6797572672e-02,-3.4123997688e+00
-2.7288768291e+00,2.6609904766e+00
-3.0049312115e+00,2.9091548920e+00
-4.3559284210e+00,-2.0991487801e-01
2.6674512029e-01,-4.5293269157e+00
2.8753995895e+00,-2.4716658592e+00
2.4659457207e+00,-2.7935457230e+00
3.6528620720e+00,2.0356945693e-01
-2.7717356682e+00,2.6088528633e+00
2.4560728073e+00,-2.7765078545e+00
3.1619422436e+00,2.7338919640e+00
-4.7401818633e-01,4.1550831795e+00
2.2134906054e-01,3.4806823730e+00
-3.7696513534e-01,3.9591615200e+00
-4.2434139252e+00,1.4390540309e-02
-2.6523933411e+00,3.2524943352e+00
-2.6668393612e+00,-3.0072739124e+00
3.0054390430e+00,2.6577517986e+00
2.4393281341e-01,-3.7148811817e+00
-4.5265853405e-02,-3.5929315090e+00
3.2998216152e+00,-2.7803585529e+00
-3.1710288525e+00,-3.0769453049e+00
3.3739414215e+00,-2.3640167713e+00
3.6988353729e+00,2.4397747219e-01
-3.7218444347e+00,-7.3746442795e-01
3.0406501293e+00,-3.0386807919e+00
2.6950129867e-01,4.3052411079e+00
-2.8452591896e+00,2.6844644547e+00
-1.7864994705e-01,-3.7574210167e+00
3.7329711914e+00,3.6821353436e-01
-4.1065213084e-01,-3.7688930035e+00
-4.2224607468e+00,-2.1112567186e-01
-2.4888970852e+00,-3.2991950512e+00
4.4579377770e-01,-4.1234998703e+00
3.0586476326e+00,-3.0131599903e+00
3.8910067081e-01,3.4909863472e+00
2.8305282593e+00,3.3267874718e+00
3.8908207417e+00,2.8541937470e-02
-3.2711908817e+00,-2.9641661644e+00
3.8790168762e+00,-1.5831798315e-01
-3.9239313602e+00,-5.1401072741e-01
3.2195160389e+00,-2.6649796963e+00
3.5879533291e+00,-5.7029765844e-01
8.3082392812e-02,-3.7523002625e+00
-4.1246199608e+00,-3.9183774590e-01
-2.7323741913e+00,2.5402507782e+00
-3.0859017372e-01,-4.1467814445e+00
2.7403545380e+00,-2.6783177853e+00
-2.6041338444e+00,2.4960727692e+00
-2.7362287045e+00,-3.0544996262e+00
2.7235910892e+00,-3.3742730618e+00
-2.9392218590e+00,-3.0668540001e+00
2.8750455379e+00,-2.8899567127e+00
3.0434978008e+00,2.7131247520e+00
3.2907497883e+00,-2.9275863171e+00
4.1618089676e+00,1.1156723835e-02
3.1559951305e+00,-2.6916811466e+00
-3.7536840439e+00,-3.5187032819e-01
3.3627076149e+00,4.6744954586e-01
-5.6970570236e-02,-3.8113043308e+00
3.0290513039e+00,-2.5724382401e+00
2.7985446453e+00,-2.4315638542e+00
9.0807387605e-03,-4.1230421066e+00
2.9491879940e+00,2.9931826591e+00
2.7032434940e+00,2.6333510876e+00
2.3244814873e+00,-2.9963936806e+00
-1.7861482501e-01,3.6865940094e+00
-2.3745760918e+00,-2.6070530415e+00
-2.7987010479e+00,2.6792473793e+00
-2.0292997360e-01,-3.9918894768e+00
3.2599473000e+00,2.6152532101e+00
2.8162214756e+00,-2.2825045586e+00
-2.9822604656e+00,2.6288676262e+00
2.6550881863e+00,-3.0380246639e+00
-1.1798200011e-01,3.9352483749e+00
-2.9727241993e+00,-3.0446486473e+00
-4.5405420661e-01,4.0092864037e+00
-2.8649156094e+00,2.8536758423e+00
-2.9032800198e+00,-3.4188687801e+00
2.0181657374e-01,3.4681448936e+00
2.8092908859e+00,2.6200799942e+00
4.1168427467e+00,-7.8550212085e-02
2.1995867789e-01,4.0050740242e+00
-2.7188525200e+00,2.6778163910e+00
-2.3928048611e+00,3.0310733318e+00
2.2243949771e-01,4.3543601036e+00
6.2349987030e-01,-4.0434689522e+00
3.0217108727e+00,-2.9540705681e+00
2.2429116070e-02,-4.4204449654e+00
2.8585278988e+00,2.8847551346e+00
-3.4095053673e+00,2.8296492100e+00
1.1687386781e-01,3.9096708298e+00
3.1337301731e+00,3.2519972324e+00
6.0422822833e-02,3.9586930275e+00
3.1033287048e+00,3.4610478878e+00
4.0592026711e+00,-3.1875561923e-02
3.1508510113e+00,-2.8621284962e+00
-2.2162203789e+00,3.4609403610e+00
-3.0492298603e+00,3.3383660316e+00
-2.1778512001e+00,2.9936292171e+00
2.4606566429e+00,2.9456200600e+00
-2.6530759335e+00,-3.3040208817e+00
-3.4711730480e+00,-1.4194835722e-01
-2.9058876038e+00,2.6939339638e+00
-3.5273355246e-01,3.7417404652e+00
-4.8509371281e-01,4.4369406700e+00
3.0947179794e+00,2.9712209702e+00
-9.3214169145e-02,3.4263839722e+00
1.4096371830e-01,3.7709138393e+00
4.0065937042e+00,-5.8883849531e-02
7.0930190384e-02,-4.0812044144e+00
-3.5549211502e+00,-7.8534916043e-02
3.7829394341e+00,2.1419024467e-01
-4.0202083588e+00,5.5389691144e-02
-3.0655708313e+00,-2.7055974007e+00
-2.9791133404e+00,-2.7132794857e+00
2.4659633636e+00,2.9417634010e+00
-2.7376110554e+00,-2.6572933197e+00
2.8933219910e+00,-2.5357403755e+00
-2.5112388134e+00,-3.0337295532e+00
7.0339413360e-03,3.6021482944e+00
4.3399829865e+00,-2.2353287041e-01
-2.1562592983e+00,-2.9793949127e+00
3.0072662830e+00,3.1184675694e+00
3.0496826172e+00,2.7822883129e+00
-2.9672360420e+00,2.8914008141e+00
2.7325222492e+00,2.7136580944e+00
-3.1613981724e-01,4.6255602837e+00
2.8244848251e+00,-2.6460387707e+00
-2.4531731606e+00,-2.6355779171e+00
3.0235538483e+00,2.8744461536e+00
-6.6052861512e-02,3.7949893475e+00
-3.0038018227e+00,-2.7426302433e+00
-4.2034330368e+00,-1.8457385898e-01
-3.2094130516e+00,-3.4438900948e+00
2.2572302818e+00,-3.3175771236e+00
-1.3960824907e-01,3.4875373840e+00
-2.9305126667e+00,3.7964038849e+00
-2.9165587425e+00,3.3190143108e+00
-4.2211542130e+00,-4.4890493155e-02
-2.5884113312e+00,2.9682247639e+00
-2.0504016876e+00,2.5175137520e+00
3.1577434540e+00,-2.4801828861e+00
3.9345166683e+00,-8.8381230831e-02
-2.7952096462e+00,2.9469578266e+00
-2.6651883125e+00,-2.9363987446e+00
