x,y
-2.9295935631e+00,-3.0014519691e+00
-5.5373233557e-01,-3.5066835880e+00
3.0030503273e+00,2.7219834328e+00
-8.2906395197e-02,-4.4442677498e+00
3.7955823541e-01,-4.0964541435e+00
2.7599420547e+00,2.4564695358e+00
1.3712975383e-01,4.0390477180e+00
3.9990439415e+00,-2.8867295384e-01
-2.9862136841e+00,-3.2213041782e+00
2.8114764690e+00,2.8249075413e+00
8.2189607620e-01,-4.0684156418e+00
-1.7479561269e-01,4.3267030716e+00
2.8810088634e+00,-2.6882164478e+00
-2.2860052586e+00,2.4830303192e+00
3.1298763752e+00,3.0959184170e+00
2.9751384258e+00,-2.8583006859e+00
-3.7374694347e+00,-3.6003608257e-02
-2.9399852753e+00,2.0084857941e+00
3.6966655254e+00,6.6739462316e-02
2.9332342148e+00,2.5516550541e+00
-7.6657921076e-02,3.8037812710e+00
-3.5166985989e+00,-2.6057010517e-02
2.2664065659e-01,4.3854470253e+00
-3.0493879318e+00,-3.1403546333e+00
-2.6815242767e+00,2.9164245129e+00
3.9852776527e+00,9.6431314945e-02
-4.3991237879e-01,-3.5171365738e+00
2.7706856728e+00,-2.5622186661e+00
-2.4939935207e+00,2.9041697979e+00
3.0193643570e+00,3.4911935329e+00
-3.1199867725e+00,-2.9915952682e+00
4.1898975372e+00,-4.5660591125e-01
-2.5723030567e+00,2.9795091152e+00
3.0501124859e+00,2.9885654449e+00
-2.8828184605e+00,3.7252473831e+00
-2.7153186798e+00,2.5103797913e+00
-4.2042198181e+00,-5.2074420452e-01
-2.5653774738e+00,-2.7870249748e+00
-2.8822040558e+00,3.0039005280e+00
-1.2404084206e-01,3.8070602417e+00
-6.9038234651e-02,3.7462389469e+00
-3.8667519093e+00,-5.1979269832e-02
2.9880127907e+00,-2.4897201061e+00
3.9814128876e+00,2.5277790427e-01
-1.2708249688e-01,4.5085015297e+00
-4.3467140198e+00,-1.0899547487e-01
-2.9034960270e+00,-2.9271287918e+00
1.1406937987e-01,3.7506258488e+00
3.1647543907e+00,-3.0424458981e+00
2.6977505684e+00,2.6965487003e+00
-3.3765387535e+00,-3.0837676525e+00
-2.3920490742e+00,2.5746161938e+00
3.5526866913e+00,4.9760472029e-02
2.7073385715e+00,2.6362507343e+00
2.5111033916e+00,-2.9795506001e+00
2.8521125317e+00,-2.9297339916e+00
-5.5359404534e-02,-4.5667300224e+00
2.3866887391e-01,-3.3330147266e+00
3.9483151436e+00,2.4291616678e-01
-3.9169108868e+00,-1.1103320867e-01
-2.7032983303e+00,-2.7286942005e+00
4.2675294876e+00,-3.0859375000e-01
1.4974068105e-01,4.0020103455e+00
2.9403645992e+00,3.0671961308e+00
-2.9231996536e+00,-2.5968968868e+00
-2.8515107632e+00,2.6314933300e+00
2.9100728035e+00,2.5863139629e+00
3.3028395176e+00,-2.8007986546e+00
-2.4417492747e-01,3.1908745766e+00
-7.9877620935e-01,-3.8632588387e+00
7.2064762935e-03,-4.0077495575e+00
-2.5762987137e+00,2.4771227837e+00
-3.2215585709e+00,7.0867896080e-01
2.5535622239e-01,3.9777431488e+00
2.6740455627e+00,2.5765833855e+00
-2.3730354309e+00,-2.6048259735e+00
3.6657091975e-01,-3.7908914089e+00
-4.3470330238e+00,-2.2270111367e-02
-3.3445932865e+00,1.3190211058e+00
2.5221307278e+00,2.6160616875e+00
2.9719405174e+00,-2.9435381889e+00
2.7246611118e+00,-2.2289967537e+00
3.0661337376e+00,-2.5536699295e+00
2.9641237259e+00,2.6840915680e+00
3.3842959404e+00,6.9781708717e-01
-8.7500862777e-02,3.5690789223e+00
-2.1070340276e-01,-4.0090656281e+00
2.8348249197e-01,-4.1729884148e+00
1.0263922065e-01,-3.6053321362e+00
-4.2500224113e+00,-3.0433741212e-01
3.9965023994e+00,5.5301193148e-02
3.3778953552e+00,2.5898609161e+00
-2.9557118416e+00,-2.7934951782e+00
4.1383771896e+00,1.9380271435e-01
2.7294907570e+00,-2.9895355701e+00
-2.9607999325e+00,-3.0114042759e+00
-2.6998066902e+00,2.6832592487e+00
2.7845985889e+00,2.5577530861e+00
2.5863373280e-01,3.8253467083e+00
-2.5727865100e-01,3.9004988670e+00
3.8462750614e-02,-4.0431036949e+00
2.7227091789e+00,2.7444400787e+00
2.6756978035e+00,-3.1025245190e+00
2.7837867737e+00,-2.6819257736e+00
4.0322036743e+00,2.3205213249e-02
3.0517566204e+00,2.7892529964e+00
-2.9983234406e+00,2.8872098923e+00
-3.3523443341e-01,-4.0776257515e+00
2.9772589207e+00,3.0124075413e+00
-2.7647662163e+00,2.6750900745e+00
3.4937148094e+00,-3.6232352257e-01
-4.0127873421e+00,-1.6174030304e-01
-2.1990455687e-01,4.1834149361e+00
2.5708694458e+00,2.5960464478e+00
